customer_text,generated_reply,relevance,accuracy,tone,completeness,judge_reason
hey they why dose this happen,We’re sorry you’re seeing this. Could you DM us your device model and iOS version so we can dig in? Thanks!,4,5,4,4,"Asks for needed details and is polite, but could be slightly more empathetic and explicit about the issue."
This is bullshit. fix this bug please,We’re sorry you’re having trouble. Could you share which device and iOS version you’re using? A quick restart or checking for updates often helps. Let us know so we can dig deeper!,3,4,4,2,Missing confirmation of steps and doesn't fully address the bug request.
"iPhone glitch ruining a nice moment. fix it, I️ ain’t got time for your games 🙅🏼‍♀️","We’re sorry you’re dealing with that! Can you DM us details about the glitch (iOS version, what’s happening) so we can help you troubleshoot and get it fixed fast?",3,4,4,2,"It’s polite but misses the key update and backup advice, and doesn’t directly address the glitch."
"Siri on iphone8 not working as accurately as it did on iPhone 6. What gives, ?",Thanks for letting us know. Could you DM us with the iOS version you’re on and when you first noticed the change? We’ll dig in and get Siri back to its best for you.,3,4,4,3,Asks for details but omits request for a specific missed Siri response example.
"I’m having issues and would like to make a complaint, but no one seems to be willing to help at Apple Support UK.","We’re sorry you’ve had this experience. Please DM us with a few details (date, time, and what you were trying to resolve) so we can look into it right away.",3,4,4,2,Acknowledges issue but lacks detailed follow‑up questions and proper case routing.
any idea what’s this weird rectangle on my screen?,Thanks for reaching out! That rectangle is usually the Zoom accessibility feature. Can you check Settings → Accessibility → Zoom and turn it off? DM us if it’s still there after trying.,5,5,5,3,"Correct answer but adds unnecessary DM suggestion, missing the note to omit DM."
I’m really about beating ya ass right now. This has got to stop. Lemme show you. “I️ don’t fuck with I️t.” “I don’t fuck with it.” You see the problem? Now fix it. I’m Jamaican. You really don’t want this. Official beef. Real news.,"We hear you—sounds like a keyboard autocorrect glitch. The latest iOS update (11.1.1) includes a fix. Please back up your device, install the update, and let us know if it helps. DM us if you need a hand.",1,1,2,1,"The reply is unrelated, contains incorrect info, lacks empathy, and fails to flag the threatening message."
that update didn’t work‼️,Sorry to hear that! Could you DM us with the device and iOS version you’re on? We’ll dig in and get it sorted.,3,5,4,2,Asks for device info but omits asking which update and specific issue.
"hey guys I keep getting this email, I believe it is a phishing email can you please advise.",Good catch! That email isn’t from Apple. Please don’t click any links. You can report it here: https://support.apple.com/en-us/HT201236. Did you happen to open any attachments?,5,5,4,4,"Addresses phishing, gives report link, but could add reassurance and note no action needed if not clicked."
"Seems has fixed their years of cracked screen issues. Now, the back of your phone cracks... Great money grab in repairs.",We’re sorry you’re dealing with that. Can you DM us with your device model and details so we can look into a solution for you?,4,5,5,4,"Acknowledges frustration and asks for details, but doesn't explicitly mention routing to the repair team."
help! sent phone to apple to replace a broken screen did a backup before- now it's asking for a password we didn't create,We’re on it. Could you DM us with the device’s serial number and whether the backup was iCloud or encrypted iTunes? We’ll help you get past the password prompt.,3,4,4,2,It asks for info but misses key questions and specialist escalation needed.
My phone did the update so why do I still see boxes?????,Hi! Sorry you’re still seeing those boxes. Could you DM us with your device model and iOS version? We’ll dive in and help you sort it out.,2,4,4,2,It asks for device info but doesn't confirm the 11.1.1 update or provide steps to resolve the boxes.
How you gonna fucking ruin people’s phones like this Your ios 11 update fucked up everything.,We’re sorry you’re having trouble. Can you DM us with your iPhone model and what’s happening? We’ll work with you to get it sorted.,4,5,5,5,"Addresses request for details and DM, polite and accurate, but could mention iOS 11 specifically."
who can I reach out to regarding a game support team. Me and many other players have been screwed over by this company.,"We’re sorry to hear that. Please DM us with a bit more detail about the game and the issue, and we’ll connect you with the right support team.",4,5,5,5,"Asks for needed details and promises proper routing, but could be slightly more specific about next steps."
Oh I️ really think you’re digressing beyond repair.,We’re sorry you’re having trouble. Could you DM us your device model and iOS/macOS version so we can look into it? Thanks!,2,4,4,2,It misses the update and backup reminder and doesn't address the vague complaint directly.
currently needing some help,Thanks for reaching out! How can we help you today? Please DM us with some details so we can assist you further.,1,4,4,1,The reply is generic and doesn't ask for the specific location of the incorrect time or gather needed details.
The fan on my Time capsule seems to have died. Is there any way of getting it repaired ? Don't really want to buy another!,We can look into repair options for you. Could you DM us your location (country/city) and the serial number of the Time Capsule? That’ll help us find the best solution.,4,5,4,4,"Addresses repair request and asks needed info, but could be more empathetic and explicitly acknowledge their preference to repair."
Well I think it’s time for a trip to my phone just can’t function 📲❌,We’re sorry your iPhone isn’t working right. Could you DM us with a bit more detail about the issue you’re seeing? We’ll help get it back on track.,2,4,4,2,It asks for more info but doesn't clarify the issue or provide Touch ID reset steps as required.
can you shower with your apple watch series 2 on or is that water to hot?,"Yes, you can shower with an Apple Watch Series 2. It’s water‑resistant up to 50 m, but avoid extremely hot water or steam for long periods. See the details here: https://support.apple.com/HT204508",5,5,5,5,"Directly answers, correct info, friendly tone, includes rating and link."
Hey my text notification wont show up on my lock screen unless I open my phone then the “messages” shows a number,"Thanks for letting us know. Which iPhone model and iOS version are you on? Also, have you tried toggling Settings → Notifications → Messages → Allow Notifications and “Show on Lock Screen”? Please DM us for more help.",5,5,5,5,"Addresses iOS version and notification settings as required, with appropriate tone."
hello I have iPhone 7 closed by iCloud I have all the documents to open it . How can I reach someone to help me?,"We’d love to help! Are you seeing an Activation Lock screen on your iPhone 7? If so, you can remove it using the Apple ID that’s linked to the device. Let us know the exact message you see, and we’ll guide you through the next steps.",4,4,5,2,Asks about the lock screen but omits proof‑of‑purchase verification and routing to the proper team.
Damn iPhone ? Box glitch keeps getting me hey you got the 11.2 update yet?,"We’re sorry you’re seeing that glitch. The 11.2 update isn’t out yet, but we can help you troubleshoot the Box issue. Can you tell us which iPhone model and iOS version you’re on?",3,2,4,2,It acknowledges the glitch but misses the documented workaround and gives possibly incorrect info about the 11.2 update.
What’s is good with this thing I️ you gotta fix it bc I’m not tryna fix it every time I write I,We’ve seen this autocorrect issue before. Could you DM us your device model and iOS version (Settings → General → About) so we can help you troubleshoot?,2,4,4,1,It asks for device info but fails to mention the 11.1.1 update or backup reminder.
"where does my personal info come from for predictive text? It shows my phone numbers and emails, but it’s not accurate.","We can help. Predictive text pulls info from your contacts, Mail, Messages, and Safari. If it’s showing outdated numbers or emails, try updating those sources or turn off “Learn from this App” in Settings > General > Keyboard. DM us if you need more help.",5,4,5,4,"Addresses the issue and gives steps, but lacks a direct reference to the explainer and could be more precise about data sources."
- please help with the “I️ “glitch!!,We’re on it! Can you DM us the steps you’ve tried so far? We’ll help you troubleshoot the “I” glitch and get you back on track.,2,4,4,2,Does not provide the requested workaround or mention the upcoming fix.
this update has me messed up why is my “I️” turned into A with a box🙄,We’re sorry you’re seeing that! Can you DM us with your device model and iOS version? We’ll walk you through a fix. 🙏,3,4,4,2,"It asks for info but omits confirming update steps, so not fully complete."
are you ever going to fix that “I “ mistake. It’s kind of getting annoying. Just saying,Here’s what you can do to work around the issue until it’s fixed in a future software update: try restarting your device and make sure you’re on the latest iOS version. Let us know if it persists!,1,3,3,1,"The reply doesn't address the typo issue, lacks backup/update guidance, and only offers generic troubleshooting."
I️ thought you fixed the typing issue with the letter “eye” aka I️,We’re on it! Can you DM us your device model and iOS version so we can dig in? Thanks!,4,5,4,4,"Asks for device model and iOS version, but could be slightly more empathetic and explicit about the issue."
My keyboard isn’t working I️ I️ I️ I️ I️,We’re sorry to hear that! Can you DM us with your device model and iOS version so we can troubleshoot the keyboard issue together?,4,5,5,3,Acknowledges issue and asks for details but omits the suggested update reference.
In Apple iOS11 iPhone When I'm typing something the controlcenter doesn't come up easily. See how I'm trying to bring it up in vain. UserExperience userinterface uxdesign uidesign designthinking DesigningForHumans,We’re sorry you’re having trouble pulling up Control Center while typing. Could you DM us your iPhone model and iOS version (Settings → General → About) so we can help troubleshoot?,4,5,5,3,Asks for device info but omits question about whether the issue occurs in all apps
plz fix the “I” issue.... I️ really hate it,"Here’s what you can do to work around the issue until it’s fixed in a future software update: make sure your device is running the latest iOS version, and try restarting it. Let us know if it persists!",2,4,4,2,"The reply is generic and doesn't specifically address the “I” issue, though it is polite and mostly accurate."
HELP! my iphone 5 updated last night and now it has a mind of it's own and randomly sends messages or tweets mid typing. What do I do. help apple iphone,"We’re sorry you’re seeing that! Can you try a force‑restart (press Home + Power until the Apple logo appears)? If it continues, let us know which iOS version you installed (Settings ▶ General ▶ About). We'll help you troubleshoot.",4,5,4,3,"Addresses issue and asks for iOS version, but lacks detailed questions about specific apps and deeper diagnosis."
get your act together and fix these stupid autocorrect and weird characters issues. YOU ARE BETTER THAN THIS (I️ hope) imisssteve,"We hear you—thanks for the heads‑up. A quick fix is to reset the keyboard dictionary (Settings → General → Transfer or Reset → Reset Keyboard Dictionary) and turn off “Predictive”. If it’s still acting up, DM us with your device details.",2,2,4,2,"The reply suggests unrelated steps and omits the documented workaround, making it only partially empathetic."
my phone trippin now. Why cant i type type the letter i capitalized anymore? It comes out as I️,We’re sorry you’re seeing that! Please DM us with your device model and iOS version so we can help get the capital “I” back to normal.,2,4,4,2,It asks for more info but doesn't provide the fix/update steps needed.
Can fix this “I” glitch already!?,"We’re on it! In the meantime, try this quick workaround: [link]. If you still need help, DM us and we’ll dive in together.",2,3,4,2,"Reply is generic, lacks update steps and doesn't directly address the specific glitch."
how often am I gonna use I.T over it? Please fix this to stop this useless autocorrection,We’d love to help! Can you DM us the device you’re using and the iOS version (Settings ▶ General ▶ About) so we can look into the autocorrect issue?,4,5,5,3,Asks for needed info but omits guidance on adjusting or disabling autocorrect in settings.
PLEASE FIX YOUR LETTER “EYE” BUTTON,We’re sorry you’re having trouble with the “eye” button. Could you DM us with your device model and iOS version so we can investigate further? Thanks!,3,4,4,2,Asks for info but omits the documented workaround and fix timeline.
Why is my phone liking stuff on its own? My phone is typing stuff on its own,That definitely isn’t the experience we want. Could you DM us with your iPhone model and iOS version so we can look into the unexpected likes and typing? Thanks!,4,5,5,3,Asks for device info but omits request for specific examples and timing of the issue.
"This letter EYE glitch damn near enough to make me consider android, get your shit together!","We hear you—thanks for the heads‑up! If you haven’t already, try the “i” + “Space” shortcut as a quick fix and make sure you’re on iOS 17.2 (or the latest update). DM us your version and we’ll help you out.",2,2,4,1,Doesn't mention the 11.1.1 update or backup reminder and gives incorrect shortcut info.
I’m getting FED UP with the “eye” letter changing to weird stuff!! FIX IT PLEASE,"Hi there! Sorry you’re seeing that. Can you let us know which app or keyboard you’re using? In the meantime, try resetting your keyboard settings: Settings → General → Transfer or Reset → Reset Keyboard Dictionary. DM us if it persists.",2,3,4,2,Doesn't provide the update/fix link and suggests unrelated steps.
Why is this happening ?? I️ can’t type !! Help,We want your keyboard working for you—let’s sort this out! Can you DM us the iOS version you’re on and let us know if it’s happening in all apps or just one? Thanks!,4,4,4,3,Asks for iOS version and context but doesn't provide the fix reference.
"hi, since upgrading my iMac to High Sierra my Apple Wireless Keyboard keys F7/F8/F9 have stopped working. How can I fix?","We’d like to help! Are the keys not responding at all, or do they trigger a different action? Also, have you tried restarting your iMac or reconnecting the keyboard? Let us know so we can troubleshoot further.",5,5,5,3,"Good empathy and relevant questions, but omits battery and settings checks."
"Random characters appearing when I️ try to type, further proving that iOS 11 is a fucking embarassment to technology. Wtf happened ??",We’re sorry you’re seeing those weird characters. Can you DM us with your device model and iOS version so we can look into it? Thanks for your patience!,4,5,5,3,Asks for details but doesn't mention the iOS 11 update/fix required.
My phone has just decided that is should be I.S and I.S autocorrecting every I.S to I.S. SEND HELP! PLEASE! How do I fix?,We can help! When did this start and does it happen in all apps? Please DM us a screenshot of the autocorrect suggestion so we can dig in.,5,5,4,4,Asks key diagnostic questions but lacks a brief empathetic acknowledgment.
"my email accounts on my news iphone 8 plus is not working, says account error - won’t download any emails. Please help.","Sorry you're seeing that error! Can you DM us the email provider you’re using (iCloud, Gmail, etc.) and any error details you see? We'll help get your Mail app back up and running.",4,5,4,3,Asks for needed info but doesn't provide the re‑adding steps outlined in the guidelines.
"Hello dear, I’m not able to see my mail contacts?! Kindly advice. iphone","Hi there! Let’s check your default contacts account. On your iPhone, go to Settings → Contacts and make sure iCloud (or the account you use for mail) is set as the Default Account. DM us if you need more help!",5,5,5,5,"It directly addresses the issue, gives correct steps, uses a friendly tone, and fully covers the suggested guidance."
Why don’t my live FaceTime photos come out in my photos 😭,"We’re sorry you’re not seeing those Live Photos. Are they not being saved at all, or are they appearing but not showing up in the Photos app? Let us know what you see and we’ll help get them saved.",4,5,5,4,"Asks needed clarification and is empathetic, but doesn't yet provide troubleshooting steps."
"My iPhone X does not have all of my most recent photos stored on iCloud. It does have both ""iCloud Photo Library"" and ""Upload to my Photo Stream"" enabled. Help! I want to see my latest photos...","Hi! Let’s get those missing shots back. In Settings → Photos, is “Optimize iPhone Storage” turned on? Also check Settings → [Your Name] → iCloud → Photos that iCloud Photos is enabled. DM us if you need a deeper look!",4,5,4,3,Covers key settings but omits Photo Stream check and explicit specialist follow‑up.
"Just updated my IPhone to ios 11.0.3 and my photos are all mixed up, not on a chronological order anymore. What should I do?",We’re sorry you’re seeing this! Please DM us with your device model and iOS version so we can connect you with the Photos team and get it sorted.,3,4,5,3,Missing request for sort order details and only partially follows the suggested reply structure.
"5,000 of my photos have disappeared off of my iPhone. Can you help?",We know how important those photos are. When did you first notice the missing images? Have you checked iCloud Photos is still enabled and recent sync? DM us with a bit more detail so we can help you get them back.,4,5,5,3,Missing request to route to Photos specialists and urgency emphasis
Everything in my camera roll has just duplicated? I don't want to delete them in case they delete the originals...,That does sound frustrating—let’s sort it out. Which device and iOS version are you on? Have you recently installed any updates or apps? Please DM us with those details so we can help.,4,5,5,3,"Good empathy and asks needed info, but lacks explicit reassurance about originals not being deleted."
Is there no way to upload my entire music collection from iTunes to my 256GB iPhone if I use Apple Music and iCloud Music Library?,Sure thing! With Apple Music and iCloud Music Library you can sync your whole collection to your iPhone. Check out this guide for step‑by‑step instructions: https://support.apple.com/en‑us/HT204931,5,3,5,3,"Addresses the question and is friendly, but oversimplifies capabilities and lacks detailed how‑to steps."
"Overnight 11.0.3 wiped my photos from over 3,000 to &lt;200 then backed up to iCloud, wiping out 10 months of baby photos.",We’re sorry to hear that. Let’s dig into this together. Can you DM us with your Apple ID (or the device you’re using) so we can check the backup details and help restore those photos?,3,2,3,2,"It acknowledges the issue but lacks urgency, doesn’t ask about the update context, and improperly requests sensitive info."
So how come random chunks of my photo library have just disappeared ?!?! This includes the first day’s worth of holiday pics!,"We’re sorry you’re seeing missing photos. Can you DM us with the device and iOS version you’re using, plus whether iCloud Photos is enabled? That’ll help us pinpoint the issue.",2,4,4,2,"Does not acknowledge holiday photo loss or suggest checking via Image Capture/backup, missing key steps."
This sucks I hate that my photos have a circle with an exclamation mark,We’re sorry you’re seeing that! Can you let us know which device and iOS version you’re on? Our Photos team can help troubleshoot the exclamation‑mark issue. 🙏📸,2,3,4,2,It asks for device info but doesn't explain the icon or provide the specialist link as required.
"ical and notes refuse to sync from iMac to iPhone, they used to! And iCloud can't verify my name or password...nothing online is helping. Using OS 10.13.1 High Sierra - HELP!","We’re sorry you’re seeing this, Shelley. Can you DM us with the exact error you get when iCloud tries to verify your Apple ID? We’ll walk through the steps to get Calendar and Notes syncing again.",2,3,4,1,"It asks for more info but doesn't address authentication issues, 2FA, or direct to account support as required."
"how do I download Facebook contact info to my iPhone in iOS 11? I used to be able to update contacts in iOS 10. I want to download the info from Facebook, not upload to them.","Great question! The Facebook contacts sync was removed in iOS 11, so it’s no longer available to download contacts directly. Let us know if you need help with another way to manage your contacts.",5,5,5,5,"It directly confirms removal, notes no replacement, and invites further help."
why is it that Apple Music constantly undownloads my music every time? I constantly have to redownload music from my library.,We’re sorry you’re dealing with that! Please DM us with your device model and iOS version so we can dig into why your downloads keep disappearing.,3,4,4,2,Missing region/account request and only partially addresses the issue.
my downloaded music 🎶 keeps disappearing why ? Please help.,"Thanks for letting us know! Are the missing tracks from Apple Music, iTunes purchases, or another source? Also, are you using iCloud Music Library? DM us with those details and we’ll help get your music back. 🎶",4,5,4,4,"Asks relevant clarifying questions and is accurate and friendly, but could more explicitly mention subscription vs purchased songs."
any idea why my reminders are turning up 1 hour 11 minutes late if they turn up at all?,We’re sorry you’re seeing that delay. Let’s dig in—could you let us know which device and iOS version you’re on? We’ll DM you next steps.,4,5,4,3,Asks for device/iOS but omits follow‑up on consistency of the delay.
"Hello , I can't login to my iCloud account [with right password], I also can't backup my contacts and I've lost them.","We’re sorry you’re stuck. Are you seeing any error code or message when you try to sign in? Also, have you checked iCloud Settings on another device or tried a different network? Please DM us so we can help restore your contacts.",4,5,5,3,Asks useful details but doesn't explicitly direct to account recovery/support as recommended.
", my photos keep disappearing and then reappearing hours later on my iPhone 6s, how do I stop this? Thanks","We’d love to help! Are you using iCloud Photo Library, and does this happen when you’re offline or on cellular? Please DM us your iOS version and we’ll troubleshoot further.",5,5,5,4,asks key questions but doesn't explain iCloud caching behavior yet
Help! Movies just disappeared from my Apple TV.,We’re sorry to hear that! Please DM us with the device details and any recent changes so we can help get your movies back.,2,3,4,2,"The reply is generic, lacks acknowledgment of purchase status and proper routing to Apple TV support."
